compound,icsd,sg,sgname,T11,T22,T33,T12,T13,T23,kappaLmin,kappaLmax,type
I2Sn1,icsd_002831,12,monoclinic,1.38,1.83,1.05,0.00,0.87,0.00,0.33,2.10,vdW
I2V1,icsd_246907,164,trigonal,10.17,10.17,1.67,0.00,0.00,0.00,1.67,10.17,vdW
I2Zn1,icsd_077058,166,trigonal,5.21,5.21,1.15,0.00,0.00,0.00,1.15,5.21,vdW
I2Zr1,icsd_024807,31,orthorhombic,2.81,2.59,0.76,0.00,0.00,0.00,0.76,2.81,vdW
I2Zr1,icsd_026418,11,monoclinic,2.63,2.84,0.76,0.00,0.98,0.00,0.34,3.05,vdW
I3Sb1,icsd_056572,148,trigonal,1.75,1.75,1.07,0.00,0.00,0.00,1.07,1.75,vdW
I3Y1,icsd_170773,148,trigonal,1.77,1.77,1.19,0.00,0.00,0.00,1.19,1.77,vdW
In1Sb1,icsd_010022,59,orthorhombic,3.60,3.54,4.31,0.00,0.00,0.00,3.54,4.31,vdW
In1Se1,icsd_030377,194,hexagonal,6.04,6.04,2.10,0.00,0.00,0.00,2.10,6.04,vdW
In1Se1,icsd_032714,10,monoclinic,10.66,4.08,22.07,0.00,1.65,0.00,4.08,22.29,vdW
In1Se1,icsd_041477,160,trigonal,9.70,9.70,2.46,0.00,0.00,0.00,2.46,9.70,vdW
In1Se1,icsd_640503,187,hexagonal,5.00,5.00,1.70,0.00,0.00,0.00,1.70,5.00,vdW
In2Se3,icsd_017008,160,trigonal,4.46,4.46,1.31,0.00,0.00,0.00,1.31,4.46,vdW
In2Se3,icsd_602266,164,trigonal,4.15,4.15,1.17,0.00,0.00,0.00,1.17,4.15,vdW
In2Te5,icsd_000501,9,monoclinic,2.66,1.44,1.21,0.00,1.05,0.00,0.66,3.20,vdW
Mn1Se1,icsd_162900,129,tetragonal,6.39,6.39,1.06,0.00,0.00,0.00,1.06,6.39,vdW
Mo1N1,icsd_060168,164,trigonal,6.06,6.06,2.00,0.00,0.00,0.00,2.00,6.06,vdW
Mo1O3,icsd_030258,62,orthorhombic,21.08,3.61,44.84,0.00,0.00,0.00,3.61,44.84,vdW
Mo1O3,icsd_644067,14,monoclinic,4.59,5.13,3.83,0.00,4.05,0.00,0.16,8.27,vdW
Mo1S2,icsd_038401,160,trigonal,87.99,87.99,3.62,0.00,0.00,0.00,3.62,87.99,vdW
Mo1S2,icsd_084180,194,hexagonal,43.43,43.43,2.64,0.00,0.00,0.00,2.64,43.43,vdW
Mo1S2,icsd_095570,194,hexagonal,43.43,43.43,2.64,0.00,0.00,0.00,2.64,43.43,vdW
Mo1S2,icsd_644259,194,hexagonal,42.72,42.72,1.77,0.00,0.00,0.00,1.77,42.72,vdW
Mo1Se2,icsd_016948,160,trigonal,39.21,39.21,2.44,0.00,0.00,0.00,2.44,39.21,vdW
Mo1Se2,icsd_049800,194,hexagonal,19.75,19.75,1.90,0.00,0.00,0.00,1.90,19.75,vdW
Mo1Se2,icsd_644346,194,hexagonal,19.12,19.12,1.22,0.00,0.00,0.00,1.22,19.12,vdW
